"","X","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Strategy","CVBillPC1","CVBillPC2","CVBodyPC1","CVBodyPC2"
"Tyrannus_albogularis",1,0.0486749636292128,0.0553128641878148,0.0587583487026653,0.0426950159515542,0.0801957946462701,0.0462490488483562,0.0636243161576235,"migratory",-12.9629766331156,13.0246709590175,102.837160436283,64.8095348044733
"Tyrannus_caudifasciatus_bahamensis",2,0.0398373333400519,0.0452471128560326,0.0455492720074372,0.0185883448110788,0.0674972405959676,0.0334097220213586,0.0337147765132643,"sedentary",-15.0593204032714,17.8417287175484,96.4102208479378,68.8858138171206
"Tyrannus_caudifasciatus_caudifasciatus",3,0.0463595245186712,0.0456045970263217,0.0472673395586328,0.0300356463341461,0.0942083802628379,0.0263224487449247,0.0326224688927845,"sedentary",-14.4046554410815,17.3147123804806,96.3532685743452,66.4682271421471
"Tyrannus_caudifasciatus_caymanensis",4,0.043220380214996,0.0266337300027328,0.0388830040832811,0.0275443647110672,0.0843123946998267,0.026871961063946,0.0429071164990306,"sedentary",-15.3253988862822,19.2418732334376,98.570088471082,67.0091596399756
"Tyrannus_caudifasciatus_flavescens",5,0.0336441874845576,0.0256301587749927,0.0335322876121646,0.0208014598083893,0.0496132363935739,0.030923805256754,0.0286794310054098,"sedentary",-14.0432242336429,17.7981942699894,94.9077484852382,67.4451958539247
"Tyrannus_caudifasciatus_gabbii",6,0.0359114687986844,0.0467096570471588,0.053718079974944,0.0330309841045664,0.0720430857097201,0.0316511871905048,0.0319854220608299,"sedentary",-13.9127420524959,16.0384630684313,91.4946641424896,67.0949414209277
"Tyrannus_caudifasciatus_jamaicensis",7,0.0336391596788706,0.0313820623249845,0.0420840295565834,0.0216370892744504,0.031818668668586,0.0198512208474029,0.0328616955193331,"sedentary",-14.8715860326647,18.4483915159506,95.2822926056004,64.9773240975846
"Tyrannus_caudifasciatus_taylori",8,0.0417598290044,0.049118847830885,0.0413040047865262,0.0310881943259277,0.0637356789272898,0.0267076878989021,0.0275144353244478,"sedentary",-15.7678543175595,17.8994733814587,104.033553616403,73.2210491818369
"Tyrannus_couchii",9,0.0553459633230334,0.0481175354142232,0.052704020213593,0.0375698897790599,0.0780080220010245,0.0451999634451567,0.0555602781251334,"partial",-15.3138104793136,14.3295532896234,106.715820262551,71.4931208954139
"Tyrannus_crassirostris_crassirostris",10,0.0528608412411073,0.0450262753286211,0.0348212556722721,0.0353616701697495,0.0991323951065981,0.0411708096418993,0.0444996051699114,"migratory",-18.8688191054769,17.1320210742488,110.175223607686,77.3287213280682
"Tyrannus_crassirostris_pompalis",11,0.0406614078680578,0.0592992782151301,0.0460742097311125,0.0373398672654854,0.0855560667350061,0.026568106150085,0.0363353407934959,"migratory",-18.8067203034434,17.4074424282395,109.509875719615,78.3285780605579
"Tyrannus_cubensis",12,0.0277141996194372,0.0338692749670286,0.0412061009803321,0.0331032723525685,0.0760011948823452,0.0287264207400905,0.0540590254275754,"sedentary",-22.0080028346984,22.684697772807,110.26503074217,80.7913090393881
"Tyrannus_dominicensis_dominicensis",13,0.04860425337197,0.0492745971801317,0.061773477893219,0.0335204143714927,0.0741922483490551,0.0324592348529576,0.0410459962222909,"migratory",-16.9830608976272,17.9352274100157,99.1264780323682,67.7505238260497
"Tyrannus_dominicensis_vorax",14,0.0458845767961101,0.0490035719396974,0.0574923043850941,0.0344966603942894,0.0734166547445177,0.0328895247446318,0.035208195490516,"sedentary",-19.1058272324277,19.8529955498802,102.365069054008,70.3594237042734
"Tyrannus_forficatus",15,0.0455515721491902,0.0456389028599979,0.0449772324686947,0.0375755131760232,0.109698661474211,0.0419804372320836,0.204533247335552,"migratory",-11.7650691927361,11.722347603391,216.416181428317,65.3448089327899
"Tyrannus_melancholicus_despotes",16,0.0474314617531801,0.0522661759775494,0.0601567032806594,0.0542108574716224,0.0942812405720237,0.0437294700901657,0.0426361900892422,"sedentary",-14.9191103835059,15.1786990094561,104.385952923,67.2925888646378
"Tyrannus_melancholicus_melancholicus",17,0.0486260961678639,0.0439241735121146,0.0571666607394033,0.0432304164128537,0.0858535661403088,0.03202063365492,0.0463149533856479,"partial",-14.8750516949849,15.2207819457526,105.468034152093,69.8189362576991
"Tyrannus_melancholicus_satrapa",18,0.0589696286375612,0.0568631937347584,0.0526629823779437,0.0475305395062142,0.0789949182663934,0.0371367865487476,0.050387461665749,"partial",-15.0160516866802,15.2523682022919,102.987452877075,69.4155992667964
"Tyrannus_niveigularis",19,0.0317292768172505,0.0652341845080457,0.0587137510289339,0.0445281934515913,0.0790734807910997,0.0335640305852212,0.0246773304104149,"partial",-12.8076169479226,12.6235965322475,88.8920325779885,64.7630725067616
"Tyrannus_savana_circumdatus",20,0.0501957850775636,0.0500061983552604,0.0498387661236075,0.0225110112858558,0.101390960437347,0.0398014998210993,0.120839349332728,"sedentary",-9.9166935246731,10.5903157202606,232.309396898932,58.6345770551618
"Tyrannus_savana_monachus_CA",21,0.0420700809962459,0.051402018243537,0.0629920648285003,0.0401644480434205,0.0839879780929073,0.0448519275243993,0.206954869769981,"sedentary",-9.85366708061841,9.6964664751927,249.153056715765,57.3295759756324
"Tyrannus_savana_monachus_SA",22,0.0550447003739135,0.0700566927390488,0.0596627600152065,0.032181173998533,0.0749904214488315,0.132332614425853,0.195638413924926,"sedentary",-9.87252381652237,10.1040822847417,245.336315777047,56.8243413630842
"Tyrannus_savana_sanctaemartae",23,0.0237213894284783,0.0304448111269255,0.0439503735786803,0.0230832967745391,0.096657845822695,0.0457217893928974,0.20377190471502,"sedentary",-9.71711954385744,10.5708350084325,262.817673763539,57.140037252172
"Tyrannus_savana_savana",24,0.0449293565580203,0.0725512579661285,0.0676301229082227,0.0574993972534174,0.106085301476326,0.047641165505208,0.19466734834163,"migratory",-10.0132726005309,9.73009334349661,227.434889070538,59.686827575228
"Tyrannus_tyrannus",25,0.047749256499771,0.113138503936695,0.0573298213218501,0.0377203026092791,0.0679381200615839,0.0372799716517201,0.0486506314072136,"migratory",-12.3018195555447,11.8962777739302,93.4384195268292,67.9060862609657
"Tyrannus_verticalis",26,0.0554368889791201,0.0463866534187762,0.0394756942468145,0.0386730614532875,0.0884683927835042,0.0416173921180871,0.0482166463790115,"migratory",-11.9510107961543,11.5456967520633,102.555432163394,72.7236296830856
"Tyrannus_vociferans_vociferans",27,0.0567103002978299,0.0462552652415717,0.0527182349827148,0.0353297245407078,0.078476764716784,0.0849361529573863,0.0368499825827565,"partial",-13.2349266217574,13.0679414933811,104.131860936311,77.4298005389055
"Tyrannus_vociferans_xenopterus",28,0.0497565457484744,0.0497949568105968,0.0537638343653831,0.030615518562754,0.150197154571834,0.057608963095922,0.0360872522747281,"sedentary",-12.7337201645996,12.7181101575114,105.160314530924,76.4213684645888
